Location,Population Distribution
ANG MO KIO,163950
BEDOK,279380
BISHAN,88010
BOON LAY,30
BUKIT BATOK,153740
BUKIT MERAH,151980
BUKIT PANJANG,139280
BUKIT TIMAH,77430
CENTRAL WATER CATCHMENT,0
CHANGI,1830
CHANGI BAY,0
CHOA CHU KANG,190890
CLEMENTI,92420
DOWNTOWN CORE,2720
GEYLANG,110200
HOUGANG,226240
JURONG EAST,79240
JURONG WEST,264860
KALLANG,101520
LIM CHU KANG,110
MANDAI,2090
MARINA EAST,0
MARINA SOUTH,0
MARINE PARADE,46390
MUSEUM,420
NEWTON,8030
NORTH-EASTERN ISLANDS,50
NOVENA,49210
ORCHARD,990
OUTRAM,18960
PASIR RIS,148020
PAYA LEBAR,40
PIONEER,90
PUNGGOL,170560
QUEENSTOWN,96340
RIVER VALLEY,10250
ROCHOR,13340
SELETAR,250
SEMBAWANG,95920
SENGKANG,244600
SERANGOON,116310
SIMPANG,0
SINGAPORE RIVER,3070
SOUTHERN ISLANDS,1800
STRAITS VIEW,0
SUNGEI KADUT,780
TAMPINES,256730
TANGLIN,21630
TENGAH,10
TOA PAYOH,120650
TUAS,70
WESTERN ISLANDS,10
WESTERN WATER CATCHMENT,720
WOODLANDS,254730
YISHUN,220320
